Michel Schneider Riesling Lieblich,тихое,Пфальц,Zimmermann-Graeff & Muller, Германия, 0,75 л, полусладкое, 10,00%
G7 Chardonnay,тихое,Мауле,Vina Carta Vieja, Чили, 0,75 л, сухое, 13,50%
Cantine Campoverde Chardonnay Montonico,тихое,Калабрия,Cantine Campoverde, Италия, 0,75 л, сухое, 12,50%
Cantine Campoverde Hiuri,тихое,Калабрия,Cantine Campoverde, Италия, 0,75 л, сухое, 13%
Beso de Vino Seleccion,тихое,Арагон,Grandes Vinos y Vinedos, Испания, 0,75 л, сухое, 13,50%
Bernard Magrez Oustric Merlot,тихое,Лангедок-Руссильон,Bernard Magrez, Франция, 0,75 л, сухое, 13,50%
Covinca Vina Oria Gran Reserva,тихое,Арагон,Covinca, Испания, 0,75 л, сухое, 13,50%
Balance Winemaker's Selection Chenin Blanc,тихое,Вестерн Кейп,Overhex Wines, ЮАР, 0,75 л, сухое, 12,50%
G7 Reserva Carmenere,тихое,Мауле,Vina Carta Vieja, Чили, 0,75 л, сухое, 14,0%
G7 Reserva Chardonnay,тихое,Мауле,Vina Carta Vieja, Чили, 0,75 л, сухое, 13,50%
Cantine Pellegrino Marsala Fine,крепленое,Сицилия,Cantine Pellegrino, Италия, 0,75 л, полусладкое, 17,00%
Vega Murillo Tinto,тихое,Торо,Frontaura, Испания, 0,75 л, сухое, 13,5%
Vinedos y Bodegas Pablo Menguante Garnacha,тихое,Арагон,Vinedos y Bodegas Pablo, Испания, 0,75 л, сухое, 14,50%
Bougrier Rose d’Anjou,тихое,Долина Луары,Famille Bougrier, Франция, 0,75 л, полусухое, 11,0%
Konrad Sauvignon Blanc «Hole in the Water»,тихое,Мальборо,Konrad Wines, Новая Зеландия, 0,75 л, сухое, 12%
Santa Ana Reserve Malbec,тихое,Мендоза,Santa Ana, Аргентина, 0,75 л, сухое, 14,00%
Santa Ana Reserve Malbec - Shiraz,тихое,Мендоза,Santa Ana, Аргентина, 0,75 л, сухое, 13,50%
Cordier Chateau Haut-Bardin Prestige,тихое,Бордо,Cordier, Франция, 0,75 л, сухое, 13,0%
Cantina di Soave Valpolicella Le Poesie,тихое,Венето,Cantina di Soave, Италия, 0,75 л, сухое, 11,50%
Dal Bello Prosecco Extra Dry Don Gallo,игристое,Венето,Dal Bello, Италия, 0,75 л, сухое, 11,00%
Dal Bello Prosecco Treviso Brut Don Gallo,игристое,Венето,Dal Bello, Италия, 0,75 л, брют, 11,00%
Вино Baron Philippe de Rothschild Bordeaux Rouge,тихое,Бордо,Baron Philippe de Rothschild, Франция, 0,75 л, сухое, 13,00%
Filipetti Prosecco Extra Dry,игристое,Венето,Valsa Nuovo Perlino, Италия, 0,75 л, сухое, 11,00%
Filipetti Asti Dolce,игристое,Пьемонт,Valsa Nuovo Perlino, Италия, 0,75 л, сладкое, 7,00%
Cavicchioli Malvasia Amabile,игристое,Емилия-Романия,Cavicchioli, Италия, 0,75 л, полусладкое, 8,00%
Schenk Cantine di Ora Amicone,тихое,Венето,Schenk Italia, Италия, 0,75 л, полусухое, 14,50%
Vallformosa Classic Brut,игристое,Каталония,Masia Vallformosa, Испания, 0,75 л, брют, 11,50%
Roger D'Anoia Cava Brut,игристое,Каталония,Freixenet, Испания, 0,75 л, брют, 11,50%
Matsu El Picaro,тихое,Кастилия и Леон,Matsu, Испания, 0,75 л, сухое, 14,50%
Chateau l'Ermitage Costieres de Nimes Tradition Blanc,тихое,Долина Роны,Ambiance Rhone Terroirs, Франция, 0,75 л, сухое, 13,50%
Dr. Heidemanns-Bergweiler Riesling,тихое,Мозель,Dr. Heidemanns-Bergweiler, Германия, 0,75 л, полусладкое, 10.50%
Cordier Chateau Les Combes Saint Louis,тихое,Бордо,Cordier, Франция, 0,75 л, сухое, 13%
Vallformosa Freye Syrah-Tempranillo,тихое,Пенедес,Masia Vallformosa, Испания, 0,75 л, сухое, 14,00%
Martini Asti,игристое,Пьемонт,Martini & Rossi, Италия, 0,75 л, сладкое, 7,50%
