Bisceglia Terra di Vulcano Falanghina,тихое,Кампания,Bisceglia, Италия, 0,75 л, сухое, 12,5%
Polkura Aylin Sauvignon Blanc,тихое,Сан-Антонио,Polkura, Чили, 0,75 л, сухое, 14%
Maison Bouey Premiere Fleur Sainte Croix du Mont,тихое,Бордо,Maison Bouey, Франция, 0,75 л, сладкое, 12,5%
Vigneto Santa Teresa Frascati Superiore,тихое,Лацио,Fontana Candida, Италия, 0,75 л, сухое, 13,0%
Vallformosa Classic Brut Rosat,игристое,Каталония,Masia Vallformosa, Испания, 0,75 л, брют, 12,0%
Vallformosa Classic Brut Nature,игристое,Каталония,Masia Vallformosa, Испания, 0,75 л, брют, 11,50%
Chateau l'Ermitage Costieres de Nimes Tradition Rouge,тихое,Долина Роны,Ambiance Rhone Terroirs, Франция, 0,75 л, сухое, 14,0%
Alta Vista Malbec Rose,тихое,Мендоза,Alta Vista, Аргентина, 0,75 л, сухое, 12,50%
Cordier Chateau Floreal Laguens,тихое,Бордо,Cordier, Франция, 0,75 л, сухое, 13,0%
Bodega Atamisque Serbal Viognier,тихое,Мендоза,Atamisque, Аргентина, 0,75 л, сухое, 13,50%
Alta Vista Classic Caberenet Sauvignon,тихое,Мендоза,Alta Vista, Аргентина, 0,75 л, сухое, 14,0%
Bodega Atamisque Serbal Malbec,тихое,Мендоза,Atamisque, Аргентина, 0,75 л, сухое, 13%
Bodega Atamisque Serbal Chardonnay,тихое,Мендоза,Atamisque, Аргентина, 0,75 л, сухое, 13,50%
Alta Vista Classic Torrontes,тихое,Сальта,Alta Vista, Аргентина, 0,75 л, сухое, 14,0%
Marques De Caceres Rueda Verdejo,тихое,Кастилия и Леон,Marques De Caceres, Испания, 0,75 л, сухое, 13,5%
Marques De Caceres Rioja Viura,тихое,Риоха,Marques De Caceres, Испания, 0,75 л, сухое, 12,5%
Falesco Vitiano Rosso,тихое,Умбрия,Falesco, Италия, 0,75 л, сухое, 13,50%
Bodegas Care Tinto Roble Garnacha Syrah,тихое,Арагон,Bodegas Care, Испания, 1,5 л, сухое, 14%
Bougrier Touraine Sauvignon Blanc,тихое,Долина Луары,Famille Bougrier, Франция, 0,75 л, сухое, 12%
Bosco Fior di Bosco Moscato,тихое,Абруццо,Bosco, Италия, 0,75 л, полусухое, 12,00%
Carlo Pellegrino Gibele,тихое,Сицилия,Cantine Pellegrino, Италия, 0,75 л, полусухое, 12,0%
Ravenswood Vintners Blend Chardonnay,тихое,Калифорния,Ravenswood, США, 0,75 л, сухое, 13,5%
Tenute Guicciardini Strozzi Vernaccia di San Gimignano Titolato,тихое,Тоскана,Strozzi, Италия, 0,75 л, сухое, 13,5%
Cave du Roi Dagobert Pinot Blanc Selection,тихое,Эльзас,Roi Dagobert, Франция, 0,75 л, сухое, 12,5%
Abbazia Di Novacella Omnes Dies,тихое,Трентино-Альто Адидже,Abbazia di Novacella, Италия, 0,75 л, сухое, 12,0%
Kutjevo Grasevina,тихое,Славония,Kutjevo, Хорватия, 0,75 л, сухое, 12,5%
Alta Vista Classic Malbec,тихое,Мендоза,Alta Vista, Аргентина, 0,75 л, сухое, 14,00%
Cave du Roi Dagobert Riesling Tradition,тихое,Эльзас,Roi Dagobert, Франция, 0,75 л, сухое, 12,0%
Cave du Roi Dagobert Riesling Tradition,тихое,Эльзас,Roi Dagobert, Франция, 0,75 л, сухое, 12,0%
Robert Mondavi Woodbridge Chardonnay,тихое,Калифорния,Robert Mondavi, США, 0,75 л, сухое, 13,5%
Cave du Roi Dagobert Pinot Gris Tradition,тихое,Эльзас,Roi Dagobert, Франция, 0,75 л, полусухое, 13,00%
Grand Bateau Blanc,тихое,Бордо,Barriere Freres, Франция, 0,75 л, сухое, 12,5%
Bougrier Vouvray Chenin Blanc,тихое,Долина Луары,Famille Bougrier, Франция, 0,75 л, полусухое, 11,0%
Bosco Il Grappolo,тихое,Абруццо,Bosco, Италия, 0,75 л, полусухое, 13,0%
Alma Criolla Malbec Varietal,тихое,Мендоза,Alma Criolla, Аргентина, 0,75 л, сухое, 13,10%
Roi Dagobert Gewurztraminer Vieilles Vignes,тихое,Эльзас,Roi Dagobert, Франция, 0,375 л, полусухое, 13,0%
Freixenet Extra Cava,игристое,Каталония,Freixenet, Испания, 0,75 л, полусухое, 11,5%
Felix Solis Vina Albali Gran Reserva Seleccion Privada,тихое,Кастилия-Ла Манча,Felix Solis Avantis, Испания, 0,75 л, сухое, 13,0%
Antoine Moueix Chateau Grand Renom,тихое,Бордо,Chateau Grand Renom, Франция, 0,75 л, сухое, 12,50%
Lapostolle Grand Selection Semillon,тихое,Кольчагуа,Lapostolle, Чили, 0,75 л, сухое, 13,5%
Lapostolle Grand Selection Carmenere,тихое,Долина Рапель,Lapostolle, Чили, 0,75 л, сухое, 13,5%
Bernard Magrez Le Bordeaux,тихое,Бордо,Bernard Magrez, Франция, 0,75 л, сухое, 12,00%
Lapostolle Grand Selection Merlot,тихое,Долина Рапель,Lapostolle, Чили, 0,75 л, сухое, 13,5%
Domaine Jean Bousquet Chardonnay Pinot Gris Reserva,тихое,Мендоза,Jean Bousquet, Аргентина, 0,75 л, сухое, 12,5%
Lapostolle Grand Selection Cabernet Sauvignon,тихое,Долина Рапель,Lapostolle, Чили, 0,75 л, сухое, 13,5%
Dal Bello Don Gallo Spumante Dolce,игристое,Венето,Dal Bello, Италия, 0,75 л, полусладкое, 7,5%
Lapostolle Grand Selection Sauvignon Blanc,тихое,Долина Рапель,Lapostolle, Чили, 0,75 л, сухое, 13,5%
Emiliana Novas Gran Reserva Sauvignon Blanc,тихое,Сан-Антонио,Emiliana, Чили, 0,75 л, сухое, 13,5%
Dow's Fine Ruby Port,крепленое,Доуро,Symington, Португалия, 0,75 л, сладкое, 19,00%
Emiliana Novas Gran Reserva Carmenere-Cabernet Sauvignon,тихое,Кольчагуа,Emiliana, Чили, 0,75 л, сухое, 14,0%
Emiliana Novas Gran Reserva Chardonnay,тихое,Касабланка,Emiliana, Чили, 0,75 л, сухое, 13,5%
George Duboeuf Beaujolais Nouveau 2017,тихое,Бургундия,George Duboeuf, Франция, 1,5 л, сухое, 12,0%
Andeluna Torrontes,тихое,Мендоза,Andeluna Cellars, Аргентина, 0,75 л, сухое, 13,3%
Andeluna Merlot,тихое,Мендоза,Andeluna Cellars, Аргентина, 0,75 л, сухое, 13.70%
Maison Bouey Pavillon de Lestruelle,тихое,Бордо,Maison Bouey, Франция, 0,75 л, сухое, 12,50%
Andeluna Cabernet Sauvignon,тихое,Мендоза,Andeluna Cellars, Аргентина, 0,75 л, сухое, 13.00%
Marques De Caceres Rosado Rioja,тихое,Риоха,Marques De Caceres, Испания, 0,75 л, сухое, 13,5%
Freixenet Carta Nevada Cava,игристое,Каталония,Freixenet, Испания, 0,75 л, полусухое, 11,50%
Dal Bello San Pietro Marzemino Spumante Rosso Dolce,игристое,Венето,Dal Bello, Италия, 0,75 л, полусладкое, 10,0%
Konrad Hole In The Water Blush,тихое,Мальборо,Konrad Wines, Новая Зеландия, 0,75 л, сухое, 13,5%
Bosco Pecorino,тихое,Абруццо,Bosco, Италия, 0,75 л, сухое, 13,0%
Lapostolle Grand Selection Petit Verdot,тихое,Касабланка,Lapostolle, Чили, 0,75 л, сухое, 13,5%
Dow's Fine White Port,крепленое,Доуро,Symington, Португалия, 0,75 л, сладкое, 19,00%
Farnese Zolla Malvasia Nera,тихое,Апулия,Farnese, Италия, 0,75 л, полусухое, 13,00%
Pere Ventura Primer Reserva Cava Brut,игристое,Пенедес,Pere Ventura S.L., Испания, 0,75 л, брют, 11,5 %
Pere Ventura Primer Reserva Cava Semi-Sec,игристое,Пенедес,Pere Ventura S.L., Испания, 0,75 л, полусухое, 11,5 %
Vina Herminia Crianza,тихое,Риоха,Vina Herminia, Испания, 0,75 л, сухое, 14,0%
Avanteselecta Obalo Roble,тихое,Риоха,Avanteselecta, Испания, 0,75 л, сухое, 14,00%
Farnese Zolla Primitivo Merlot,тихое,Апулия,Farnese, Италия, 0,75 л, полусухое, 13,50%
Farnese Zolla Salice Salento,тихое,Апулия,Farnese, Италия, 0,75 л, полусухое, 13,00%
Castelli del Grevepesa Castelgreve Chianti Classico,тихое,Тоскана,Castelli del Grevepesa, Италия, 0,75 л, сухое, 13,50%
Maison Bouey Demoiselle de Maison Blanche,тихое,Бордо,Maison Bouey, Франция, 0,75 л, сухое, 13,0%
Farnese Zolla Primitivo di Manduria,тихое,Апулия,Farnese, Италия, 0,75 л, полусухое, 14,00%
Lapostolle Grand Selection Chardonnay,тихое,Касабланка,Lapostolle, Чили, 0,75 л, сухое, 14,0%
Maison Bouey Chateau Saint Paul,тихое,Бордо,Maison Bouey, Франция, 0,75 л, сухое, 13,0%
Tedeschi Filadonna Delle Venezie,тихое,Венето,Tedeschi, Италия, 0,75 л, сухое, 12,0%
Tedeschi Lucchine Valpolicella Classico,тихое,Венето,Tedeschi, Италия, 0,75 л, сухое, 12,5%
Andeluna Malbec Rose,тихое,Мендоза,Andeluna Cellars, Аргентина, 0,75 л, сухое, 13,6%
Chateau Moulin De La Bridane,тихое,Бордо,Maison Bouey, Франция, 0,75 л, сухое, 13,0%
Maison Bouey Chateau Lajarre Eleonore,тихое,Бордо,Maison Bouey, Франция, 0,75 л, сухое, 13,5%
Re Manfredi Basilicata Rosato,тихое,Базиликата,Re Manfredi, Италия, 0,75 л, полусухое, 13,5%
Antoine Moueix Chateau Grand Renom,тихое,Бордо,Chateau Grand Renom, Франция, 0,75 л, сухое, 12,5%
Freixenet Cordon Rosado,игристое,Каталония,Freixenet, Испания, 0,75 л, полусухое, 12,0%
Vintae La Garnacha Olvidada de Aragon,тихое,unknown,Matsu, Испания, 0,75 л, сухое, 15,00%
Boutari Moschofilero,тихое,Пелопоннес,Boutari, Греция, 0,75 л, сухое, 11%
Boutari Agiorgitiko,тихое,Пелопоннес,Boutari, Греция, 0,75 л, сухое, 13,00%
Bosco Trebbiano d’Abruzzo Superiore,тихое,unknown,Bosco, Италия, 0,75 л, сухое, 13,00%
Garofoli Macrina,тихое,Марке,Garofoli, Италия, 0,75 л, сухое, 13,00%
Garofoli Macrina,тихое,Марке,Garofoli, Италия, 0,75 л, сухое, 13,00%
Piero Mancini Moscato di Sardegna,игристое,Сардиния,Piero Mancini, Италия, 0,75 л, полусладкое, 8,0%
Cave du Roi Dagobert Riesling Selection,тихое,Эльзас,Roi Dagobert, Франция, 0,75 л, сухое, 12,50%
Vinedos y Bodegas Pablo Menguante Garnacha Blanca,тихое,Арагон,Vinedos y Bodegas Pablo, Испания, 0,75 л, сухое, 13%
Carpe Diem Feteasca Neagra,тихое,unknown,Carpe Diem, Молдавия, 0,75 л, сухое, 13,5%
Villa Montepaldi Ateneo Sauvignon Toscana,тихое,Тоскана,Villa Montepaldi, Италия, 0,75 л, сухое, 14,0%
Bosco Storica Montepulciano d’Abruzzo,тихое,Абруццо,Bosco, Италия, 0,75 л, сухое, 13,50%
Andeluna Chardonnay,тихое,Мендоза,Andeluna Cellars, Аргентина, 0,75 л, сухое, 14,00%
Dal Bello Rosa della Regina Rose Brut,игристое,Венето,Dal Bello, Италия, 0,75 л, брют, 12,0%
Vieux Chateau du Terme,тихое,Бордо,Maison Bouey, Франция, 0,75 л, сухое, 12,5%
Mas des Mas Picpoul de Pinet,тихое,Лангедок-Руссильон,Domaines Paul Mas, Франция, 0,75 л, сухое, 13,00%
Santa Ana La Mascota Chardonnay,тихое,Мендоза,Santa Ana, Аргентина, 0,75 л, сухое, 13,5%
Asti Mondoro,игристое,Пьемонт,Cinzano, Италия, 0,75 л, сладкое, 7,5%
Santa Ana La Mascota Malbec,тихое,Мендоза,Santa Ana, Аргентина, 0,75 л, сухое, 14%
Santa Ana La Mascota Cabernet Sauvignon,тихое,Мендоза,Santa Ana, Аргентина, 0,75 л, сухое, 14,00%
Emilio Lustau Manzanilla Papirusa Sherry,крепленое,Андалусия,Emilio Lustau, Испания, 0,75 л, сухое, 15,0%
Santa Ema Carmenere Reserve,тихое,Долина Качапоал,Santa Ema, Чили, 0,75 л, сухое, 14,0%
Emilio Lustau Fino Jarana Sherry,крепленое,Андалусия,Emilio Lustau, Испания, 0,75 л, сухое, 15,0%
Santa Ema Syrah Barrel Reserve,тихое,Долина Качапоал,Santa Ema, Чили, 0,75 л, сухое, 13,5%
Santa Ema Chardonnay Reserve,тихое,Касабланка,Santa Ema, Чили, 0,75 л, сухое, 13,0%
Piero Mancini Vermentino di Gallura,тихое,Сардиния,Piero Mancini, Италия, 0,75 л, сухое, 13,0%
Santa Ema Merlot Reserve,тихое,Долина Майпо,Santa Ema, Чили, 0,75 л, сухое, 13,0%
Capezzana «Monna Nera»,тихое,Тоскана,Capezzana, Италия, 0,75 л, сухое, 13,5%
Santa Ema Cabernet Sauvignon Reserve,тихое,Долина Майпо,Santa Ema, Чили, 0,75 л, сухое, 13,50%
Bisceglia Bosco delle Rose Chardonnay,тихое,Базиликата,Bisceglia, Италия, 0,75 л, сухое, 14,00%
Cavicchioli Spumante Rose Fantasy Line,игристое,Емилия-Романия,Cavicchioli, Италия, 0,75 л, полусладкое, 9,5%
Tedeschi Valpolicella Classico Superiore,тихое,Венето,Tedeschi, Италия, 0,75 л, сухое, 13,5%
Mas des Mas Saint Chinian,тихое,Лангедок-Руссильон,Domaines Paul Mas, Франция, 0,75 л, сухое, 13,5%
Fantinel Prosecco Extra Dry (Aromatico),игристое,Фриули Венеция Джулия,Fantinel, Италия, 0,75 л, сухое, 11,5%
Baron Philippe de Rothschild Le Rose de Mouton Cadet,тихое,Бордо,Mouton Cadet, Франция, 0,75 л, сухое, 12,5%
Baron Philippe de Rothschild Mouton Cadet Blanc,тихое,Бордо,Mouton Cadet, Франция, 0,75 л, сухое, 12,0%
Lucien Lurton La Reserve Blanc,тихое,Бордо,La Passion des Terroirs, Франция, 0,75 л, сухое, 12%
Hans Tschida Welschriesling,тихое,Бургенланд,Tschida, Австрия, 0,75 л, сухое, 12,5%
Avanteselecta Pazo de Monterrey,тихое,Монтеррей,Avanteselecta, Испания, 0,75 л, сухое, 13,5%
Veralda Refosk Rose,тихое,Истрия,Veralda, Хорватия, 0,75 л, полусухое, 11,5%
Donnafugata Damarino,тихое,Сицилия,Donnafugata, Италия, 0,75 л, сухое, 11,50%
Kuentz-Bas Sylvaner Tradition,тихое,Эльзас,Kuentz-Bas, Франция, 0,75 л, сухое, 12,5%
Mastroberardino Falanghina del Sannio,тихое,Кампания,Mastroberardino, Италия, 0,75 л, сухое, 12,50%
Donnafugata Lumera,тихое,Сицилия,Donnafugata, Италия, 0,75 л, сухое, 12,5%
Monchiero Carbone Birbet,игристое,Пьемонт,Monchiero Carbone, Италия, 0,75 л, сладкое, 5,50%
Dow's Trademark Finest Reserve Port,крепленое,Доуро,Symington, Португалия, 0,75 л, сладкое, 20.00%
Donnafugata Anthilia,тихое,Сицилия,Donnafugata, Италия, 0,75 л, сухое, 12,50%
Mastroberardino Falanghina del Sannio,тихое,Кампания,Mastroberardino, Италия, 0,75 л, сухое, 12,5%
Mastroberardino Lacryma Christi del Vesuvio Bianco,тихое,Кампания,Mastroberardino, Италия, 0,75 л, сухое, 12,5%
Rivesaltes Rose,крепленое,Лангедок-Руссильон,Vignerons Catalans, Франция, 0,75 л, сладкое, 15,5%
Roi Dagobert Riesling Vieilles Vignes,тихое,Эльзас,Roi Dagobert, Франция, 0,75 л, сухое, 12,5%
Grand Bateau Bordeaux Rouge,тихое,Бордо,Barriere Freres, Франция, 0,75 л, сухое, 13,0%
Villa Montepaldi Chianti Classico,тихое,Тоскана,Villa Montepaldi, Италия, 0,75 л, сухое, 13,5%
Baron Philippe de Rothschild Mouton Cadet Vintage Edition,тихое,Бордо,Mouton Cadet, Франция, 0,75 л, сухое, 13,00%
Dr.Heidemanns-Bergweiler Riesling Feinherb,тихое,Мозель,Dr. Heidemanns-Bergweiler, Германия, 0,75 л, полусухое, 10,0%
Capezzana Rosato di Carmignano Vin Ruspo,тихое,Тоскана,Capezzana, Италия, 0,75 л, сухое, 13,50%
Villa Maria Private Bin Riesling,тихое,Мальборо,Villa Maria, Новая Зеландия, 0,75 л, полусухое, 12,5%
Baron Philippe de Rothschild Reserve Mouton Cadet Graves Blanc,тихое,Бордо,Mouton Cadet, Франция, 0,75 л, сухое, 12,50%
Baron Philippe de Rothschild Reserve Mouton Cadet Graves Rouge,тихое,Бордо,Mouton Cadet, Франция, 0,75 л, сухое, 12,50%
Dr. Heidemanns-Bergweiler Riesling Trocken,тихое,Мозель,Dr. Heidemanns-Bergweiler, Германия, 0,75 л, полусухое, 11,5%
Donnafugata Sedara,тихое,Сицилия,Donnafugata, Италия, 0,75 л, сухое, 13,5%
Guicciardini Strozzii Morellino di Scansano Titolato,тихое,Тоскана,Strozzi, Италия, 0,75 л, сухое, 14,00%
Castello di Ama Ama Chianti Classico,тихое,Тоскана,Castello di Ama, Италия, 0,375 л, сухое, 12,50%
Vina Herminia Excelsus,тихое,Риоха,Vina Herminia, Испания, 0,75 л, сухое, 14,0%
Chateau Grand Dousprat,тихое,Бордо,Maison Bouey, Франция, 0,75 л, сладкое, 13,5%
George Duboeuf Fleurie,тихое,Бургундия,George Duboeuf, Франция, 0,75 л, сухое, 13,0%
Castelli del Grevepesa Chianti Classico Castelgreve Riserva,тихое,Тоскана,Castelli del Grevepesa, Италия, 0,75 л, сухое, 13,5%
Borgo Conventi Cabernet Franc Isonzo,тихое,Фриули Венеция Джулия,Borgo Conventi, Италия, 0,75 л, сухое, 12,5%
Borgo Conventi Friulano Isonzo,тихое,Фриули Венеция Джулия,Borgo Conventi, Италия, 0,75 л, сухое, 13,50%
Maison Bouey Chateau du Monastere,тихое,Бордо,Maison Bouey, Франция, 0,75 л, сухое, 12,5%
Konrad Riesling,тихое,Мальборо,Konrad Wines, Новая Зеландия, 0,75 л, полусухое, 12%
Vignerons Catalans Croix Milhas Banyuls,крепленое,Лангедок-Руссильон,Vignerons Catalans, Франция, 0,75 л, сладкое, 16,00%
Marques De Caceres Antea Barrel,тихое,Риоха,Marques De Caceres, Испания, 0,75 л, сухое, 13,0%
Santa Ema Amplus Sauvignon Blanc,тихое,Долина Лейда,Santa Ema, Чили, 0,75 л, сухое, 13,5%
Borgo Conventi Isonzo Refosco,тихое,Фриули Венеция Джулия,Borgo Conventi, Италия, 0,75 л, сухое, 12,5%
Abbazia Di Novacella Kalterersee Auslese,тихое,Трентино-Альто Адидже,Abbazia di Novacella, Италия, 0,75 л, сухое, 12,5%
Les Sources de Livran,тихое,Бордо,La Passion des Terroirs, Франция, 0,75 л, сухое, 13,0%
Lucien Lurton Lа Reserve Rouge,тихое,Бордо,La Passion des Terroirs, Франция, 0,75 л, сухое, 12,5%
Shabo Chardonnay Grande Reserve,тихое,Одесская область,Шабо, Украина, 0,75 л, сухое, 13.6%
Baron Philippe de Rothschild Reserve Mouton Cadet Bordeaux Blanc,тихое,Бордо,Mouton Cadet, Франция, 0,75 л, сухое, 12,5%
Cave du Roi Dagobert Pinot Gris Selection,тихое,Эльзас,Roi Dagobert, Франция, 0,75 л, полусухое, 13,0%
La Bioca Favorosa,тихое,Пьемонт,La Bioca, Италия, 0,75 л, сухое, 13.00%
Maison Bouey Chateau Haut Meynard Bordeaux Superior,тихое,Бордо,Maison Bouey, Франция, 0,75 л, сухое, 13,00%
Quaquarini Pinot Nero Frizzante,тихое,Ломбардия,Quacquarini, Италия, 0,75 л, полусухое, 11,50%
Garofoli Piancarda Rosso Conero,тихое,Марке,Garofoli, Италия, 0,75 л, сухое, 13,00%
Vita Vinea Saperavi,тихое,Кахетия,Dakishvili Family Winery, Грузия, 0,75 л, сухое, 13,00%
Vita Vinea Kisi,тихое,Кахетия,Dakishvili Family Winery, Грузия, 0,75 л, сухое, 13,00%
Monchiero Carbone Recit Roero Arneis,тихое,Пьемонт,Monchiero Carbone, Италия, 0,75 л, сухое, 13,0%
Pere Ventura Tresor Rose Cava,игристое,Пенедес,Pere Ventura S.L., Испания, 0,75 л, брют, 11,5 %
Marques De Caceres Rias Baixas Deusa Nai Albarino,тихое,Риас Байшас,Marques De Caceres, Испания, 0,75 л, сухое, 12,5%
Pere Ventura Tresor Reserva Cava Brut,игристое,Пенедес,Pere Ventura S.L., Испания, 0,75 л, брют, 11,5 %
Maison Bouey Chateau du Grand Pierre,тихое,Бордо,Maison Bouey, Франция, 0,75 л, сухое, 13,5%
Dominio de Tares Baltos,тихое,Кастилия и Леон,Dominio de Tares, Испания, 0,75 л, сухое, 14,5%
La Demoiselle de By Medoc,тихое,unknown,Rollan de By, Франция, 0,75 л, сухое, 13,00%
Bodega Atamisque Catalpa Merlot,тихое,Мендоза,Atamisque, Аргентина, 0,75 л, сухое, 14,0%
Alma Criolla Malbec Crianza,тихое,Мендоза,Alma Criolla, Аргентина, 0,75 л, сухое, 13,50%
Bodega Atamisque Catalpa Malbec,тихое,Мендоза,Atamisque, Аргентина, 0,75 л, сухое, 14,8%
Besini Premium White,тихое,Кахетия,Besini, Грузия, 0,75 л, сухое, 13,5%
Bodega Atamisque Catalpa Chardonnay,тихое,Мендоза,Atamisque, Аргентина, 0,75 л, сухое, 14%
Baron Philippe de Rothschild Mouton Cadet Rouge,тихое,Бордо,Mouton Cadet, Франция, 0,75 л, сухое, 13.00%
Marques De Caceres Rioja Crianza,тихое,Риоха,Marques De Caceres, Испания, 0,75 л, сухое, 13,50%
Villa Maria Private Bin Sauvignon Blanc,тихое,Мальборо,Villa Maria, Новая Зеландия, 0,75 л, сухое, 13,00%
Konrad Sauvignon Blanc,тихое,Мальборо,Konrad Wines, Новая Зеландия, 0,75 л, сухое, 12,0%
Bodega Atamisque Catalpa Cabernet Sauvignon,тихое,Мендоза,Atamisque, Аргентина, 0,75 л, сухое, 13,5%
E.Guigal Cotes-du-Rhone Rose,тихое,Долина Роны,E.Guigal, Франция, 0,75 л, сухое, 13,50%
Bodega Atamisque Catalpa Pinot Noir,тихое,Мендоза,Atamisque, Аргентина, 0,75 л, сухое, 14,5%
Antoine Moueix Chemins de Compostelle,тихое,Бордо,Antoine Moueix, Франция, 0,75 л, сухое, 13,0%
Finca Bacara Taba,тихое,Мурсия,Finca Bacara, Испания, 0,75 л, сухое, 14,5%
Antoine Moueix Le Grand Chapelain Blanc,тихое,Бордо,Antoine Moueix, Франция, 0,75 л, сухое, 12,0%
Laporte Le Bouquet Rose de Pinot Noir,тихое,Долина Луары,Laporte, Франция, 0,75 л, сухое, 12.5%
Laporte Le Bouquet Sauvignon Blanc,тихое,Долина Луары,Laporte, Франция, 0,75 л, сухое, 12,5%
Bernard Magrez Chateau Guerry,тихое,Бордо,Bernard Magrez, Франция, 0,75 л, сухое, 12,5%
Alto Douro Porca de Murca Reserva Branco,тихое,Доуро,Real Companhia Velha, Португалия, 0,75 л, сухое, 13,5%
Laporte Le Bouquet Cabernet Franc,тихое,Долина Луары,Laporte, Франция, 0,75 л, сухое, 12,50%
Veralda Malvasia Prestige,тихое,Истрия,Veralda, Хорватия, 0,75 л, сухое, 13,00%
Jacques Charlet Coteaux Bourguignons Blanc,тихое,Бургундия,Jacques Charlet, Франция, 0,75 л, сухое, 11,5%
Felix Solis Vina Albali Gran Reserva de Familia,тихое,Кастилия-Ла Манча,Felix Solis Avantis, Испания, 0,75 л, сухое, 13,0%
La Spinetta Barbera d'Asti Ca di Pian,тихое,Пьемонт,La Spinetta, Италия, 0,375 л, сухое, 14,00%
George Duboeuf Saint Amour,тихое,Бургундия,George Duboeuf, Франция, 0,75 л, сухое, 13,00%
Hans Tschida Angerhof Spatlese Cuvee,тихое,Бургенланд,Tschida, Австрия, 0,75 л, сладкое, 8,5%
Hans Tschida Angerhof Zweigelt Heideboden,тихое,Бургенланд,Tschida, Австрия, 0,75 л, сухое, 14%
Andeluna Altitud Cabernet Sauvignon,тихое,Мендоза,Andeluna Cellars, Аргентина, 0,75 л, сухое, 14,5%
Monchiero Carbone Gavi di Gavi,тихое,Пьемонт,Monchiero Carbone, Италия, 0,75 л, сухое, 12,5%
Bodegas Care Finca Bancales Garnacha,тихое,Арагон,Bodegas Care, Испания, 0,75 л, сухое, 14,50%
Ackerman Saumur Cuvee Privee Blanc Brut,игристое,Долина Луары,Ackerman, Франция, 0,75 л, брют, 11,50%
Ackerman Saumur Cuvee Privee Demi Sec,игристое,Долина Луары,Ackerman, Франция, 0,75 л, полусухое, 12,00%
Ackerman Saumur Cuvee Privee Rosе Demi Seco,игристое,Долина Луары,Ackerman, Франция, 0,75 л, брют, 12,00%
Dal Bello Feudo Della Regina Asolo Prosecco Superiore,игристое,Венето,Dal Bello, Италия, 0,75 л, сухое, 11,00%
Konrad Wines Bunch Selection Riesling,тихое,Мальборо,Konrad Wines, Новая Зеландия, 0,75 л, полусладкое, 8,50%, 9,50%
Dow's Late Bottled Vintage Port,крепленое,Доуро,Symington, Португалия, 0,75 л, сладкое, 20,00%
Alta Vista Premium Caberenet Sauvignon,тихое,Мендоза,Alta Vista, Аргентина, 0,75 л, сухое, 14,50%
Alta Vista Premium Torrontes,тихое,Сальта,Alta Vista, Аргентина, 0,75 л, сухое, 14,0%
Alta Vista Premium Chardonnay,тихое,Мендоза,Alta Vista, Аргентина, 0,75 л, сухое, 13,5%
Abbazia di Novacella St. Magdalener,тихое,Трентино-Альто Адидже,Abbazia di Novacella, Италия, 0,75 л, сухое, 13,0%
Avanteselecta Torre de Golban Crianza,тихое,Рибера дель Дуэро,Avanteselecta, Испания, 0,75 л, сухое, 14,50%
George Duboeuf Moulin a Vent,тихое,Бургундия,George Duboeuf, Франция, 0,75 л, сухое, 13,0%
Les Cretes Torrette,тихое,Валле д'Аоста,Les Cretes, Италия, 0,75 л, сухое, 12,5%
Castelli del Grevepesa Chianti Classico Clemente VII,тихое,Тоскана,Castelli del Grevepesa, Италия, 0,75 л, сухое, 14,00%
Vallformosa Heredad 1874 Reserva,тихое,Риоха,Masia Vallformosa, Испания, 0,75 л, сухое, 13,5%
Tenute Guicciardini Strozzi Vernaccia Di San Gimignano Cusona 1933,тихое,Тоскана,Strozzi, Италия, 0,75 л, сухое, 13%
Celler Credo Aloers,тихое,Пенедес,Celler Credo, Испания, 0,75 л, сухое, 12,0%
Masottina Conegliano Valdobbiadene Prosecco Superiore Extra Dry,игристое,Венето,Masottina, Италия, 0,75 л, сухое, 11,50%
Колонист Биссер,игристое,Одесская область,Kolonist, Украина, 0,75 л, брют, 12,50%
Mastroberardino Fiano di Avellino,тихое,Кампания,Mastroberardino, Италия, 0,75 л, сухое, 12,5%
Abbazia Di Novacella Pinot Grigio,тихое,Трентино-Альто Адидже,Abbazia di Novacella, Италия, 0,75 л, сухое, 13,5%
Mastroberardino Fiano di Avellino,тихое,Кампания,Mastroberardino, Италия, 0,75 л, сухое, 12,5%
Argentiera Poggio ai Ginepri Rosato,тихое,Тоскана,Argentiera, Италия, 0,75 л, сухое, 13,5%
Le Grand Chapelain Rouge,тихое,Бордо,Antoine Moueix, Франция, 0,75 л, сухое, 12,50%
Kuentz-Bas Trois Chateaux Auxerrois,тихое,Эльзас,Kuentz-Bas, Франция, 0,75 л, полусухое, 13,00%
Cave du Roi Dagobert Gewurztraminer Selection,тихое,Эльзас,Roi Dagobert, Франция, 0,75 л, полусухое, 13,00%
Antoine Moueix Chemins de Compostelle,тихое,Бордо,Antoine Moueix, Франция, 0,75 л, сухое, 13,0%
Boutari Xinomavro Reserve,тихое,Наусса,Boutari, Греция, 0,75 л, сухое, 13,5%
Vita Vinea Rkatsiteli,тихое,Кахетия,Dakishvili Family Winery, Грузия, 0,75 л, сухое, 13,00%
Chateau Valentin Larmande,тихое,Бордо,Maison Bouey, Франция, 0,75 л, сухое, 13,5%
